d(1, 1) = 1.41421
d(2704, 2704) = 3824.03
d(2705, 2705) = 3825.45
d(2706, 2706) = 3826.86
d(2707, 2707) = 3828.28
d(2708, 2708) = 3829.69
d(2709, 2709) = 3831.1
d(2710, 2710) = 3832.52
d(2711, 2711) = 3833.93
d(2712, 2712) = 3835.35
d(2713, 2713) = 3836.76
d(2714, 2714) = 3838.18
d(2715, 2715) = 3839.59
d(2716, 2716) = 3841
d(2717, 2717) = 3842.42
d(2718, 2718) = 3843.83
d(2719, 2719) = 3845.25
d(2720, 2720) = 3846.66
d(2721, 2721) = 3848.08
d(2722, 2722) = 3849.49
d(2723, 2723) = 3850.9
d(2724, 2724) = 3852.32
d(2725, 2725) = 3853.73
d(2726, 2726) = 3855.15
d(2727, 2727) = 3856.56
d(2728, 2728) = 3857.97
d(2729, 2729) = 3859.39
d(2730, 2730) = 3860.8
d(2731, 2731) = 3862.22
d(2732, 2732) = 3863.63
d(2733, 2733) = 3865.05
d(2734, 2734) = 3866.46
d(2735, 2735) = 3867.87
d(2736, 2736) = 3869.29
d(2737, 2737) = 3870.7
d(2738, 2738) = 3872.12
d(2739, 2739) = 3873.53
d(2740, 2740) = 3874.95
d(2741, 2741) = 3876.36
d(2742, 2742) = 3877.77
d(2743, 2743) = 3879.19
d(2744, 2744) = 3880.6
d(2745, 2745) = 3882.02
d(2746, 2746) = 3883.43
d(2747, 2747) = 3884.84
d(2748, 2748) = 3886.26
d(2749, 2749) = 3887.67
d(2750, 2750) = 3889.09
d(2751, 2751) = 3890.5
d(2752, 2752) = 3891.92
d(2753, 2753) = 3893.33
d(2754, 2754) = 3894.74
d(2755, 2755) = 3896.16
d(2756, 2756) = 3897.57
d(2757, 2757) = 3898.99
d(2758, 2758) = 3900.4
d(2759, 2759) = 3901.82
d(2760, 2760) = 3903.23
d(2761, 2761) = 3904.64
d(2762, 2762) = 3906.06
d(2763, 2763) = 3907.47
d(2764, 2764) = 3908.89
d(2765, 2765) = 3910.3
d(2766, 2766) = 3911.71
d(2767, 2767) = 3913.13
d(2768, 2768) = 3914.54
d(2769, 2769) = 3915.96
d(2770, 2770) = 3917.37
d(2771, 2771) = 3918.79
d(2772, 2772) = 3920.2
d(2773, 2773) = 3921.61
d(2774, 2774) = 3923.03
d(2775, 2775) = 3924.44
d(2776, 2776) = 3925.86
d(2777, 2777) = 3927.27
d(2778, 2778) = 3928.69
d(2779, 2779) = 3930.1
d(2780, 2780) = 3931.51
d(2781, 2781) = 3932.93
d(2782, 2782) = 3934.34
d(2783, 2783) = 3935.76
d(2784, 2784) = 3937.17
d(2785, 2785) = 3938.58
d(2786, 2786) = 3940
d(2787, 2787) = 3941.41
d(2788, 2788) = 3942.83
d(2789, 2789) = 3944.24
d(2790, 2790) = 3945.66
d(2791, 2791) = 3947.07
d(2792, 2792) = 3948.48
d(2793, 2793) = 3949.9
d(2794, 2794) = 3951.31
d(2795, 2795) = 3952.73
d(2796, 2796) = 3954.14
d(2797, 2797) = 3955.56
d(2798, 2798) = 3956.97
d(2799, 2799) = 3958.38
d(2800, 2800) = 3959.8
d(2801, 2801) = 3961.21
d(2802, 2802) = 3962.63
d(2803, 2803) = 3964.04
d(2804, 2804) = 3965.45
d(2805, 2805) = 3966.87
d(2806, 2806) = 3968.28
d(2807, 2807) = 3969.7
d(2808, 2808) = 3971.11
d(2809, 2809) = 3972.53
d(2810, 2810) = 3973.94
d(2811, 2811) = 3975.35
d(2812, 2812) = 3976.77
d(2813, 2813) = 3978.18
d(2814, 2814) = 3979.6
d(2815, 2815) = 3981.01
d(2816, 2816) = 3982.43
d(2817, 2817) = 3983.84
d(2818, 2818) = 3985.25
d(2819, 2819) = 3986.67
d(2820, 2820) = 3988.08
d(2821, 2821) = 3989.5
d(2822, 2822) = 3990.91
d(2823, 2823) = 3992.32
d(2824, 2824) = 3993.74
d(2825, 2825) = 3995.15
d(2826, 2826) = 3996.57
d(2827, 2827) = 3997.98
d(2828, 2828) = 3999.4
d(2829, 2829) = 4000.81
d(2830, 2830) = 4002.22
d(2831, 2831) = 4003.64
d(2832, 2832) = 4005.05
d(2833, 2833) = 4006.47
d(2834, 2834) = 4007.88
d(2835, 2835) = 4009.3
d(2836, 2836) = 4010.71
d(2837, 2837) = 4012.12
d(2838, 2838) = 4013.54
d(2839, 2839) = 4014.95
d(2840, 2840) = 4016.37
d(2841, 2841) = 4017.78
d(2842, 2842) = 4019.19
d(2843, 2843) = 4020.61
d(2844, 2844) = 4022.02
d(2845, 2845) = 4023.44
d(2846, 2846) = 4024.85
d(2847, 2847) = 4026.27
d(2848, 2848) = 4027.68
d(2849, 2849) = 4029.09
d(2850, 2850) = 4030.51
d(2851, 2851) = 4031.92
d(2852, 2852) = 4033.34
d(2853, 2853) = 4034.75
d(2854, 2854) = 4036.17
d(2855, 2855) = 4037.58
d(2856, 2856) = 4038.99
d(2857, 2857) = 4040.41
d(2858, 2858) = 4041.82
d(2859, 2859) = 4043.24
d(2860, 2860) = 4044.65
d(2861, 2861) = 4046.07
d(2862, 2862) = 4047.48
d(2863, 2863) = 4048.89
d(2864, 2864) = 4050.31
d(2865, 2865) = 4051.72
d(2866, 2866) = 4053.14
d(2867, 2867) = 4054.55
d(2868, 2868) = 4055.96
d(2869, 2869) = 4057.38
d(2870, 2870) = 4058.79
d(2871, 2871) = 4060.21
d(2872, 2872) = 4061.62
d(2873, 2873) = 4063.04
d(2874, 2874) = 4064.45
d(2875, 2875) = 4065.86
d(2876, 2876) = 4067.28
d(2877, 2877) = 4068.69
d(2878, 2878) = 4070.11
d(2879, 2879) = 4071.52
d(2880, 2880) = 4072.94
d(2881, 2881) = 4074.35
d(2882, 2882) = 4075.76
d(2883, 2883) = 4077.18
d(2884, 2884) = 4078.59
d(2885, 2885) = 4080.01
d(2886, 2886) = 4081.42
d(2887, 2887) = 4082.83
d(2888, 2888) = 4084.25
d(2889, 2889) = 4085.66
d(2890, 2890) = 4087.08
d(2891, 2891) = 4088.49
d(2892, 2892) = 4089.91
d(2893, 2893) = 4091.32
d(2894, 2894) = 4092.73
d(2895, 2895) = 4094.15
d(2896, 2896) = 4095.56
d(2897, 2897) = 4096.98
d(2898, 2898) = 4098.39
d(2899, 2899) = 4099.81
d(2900, 2900) = 4101.22
d(2901, 2901) = 4102.63
d(2902, 2902) = 4104.05
d(2903, 2903) = 4105.46
d(2904, 2904) = 4106.88
d(2905, 2905) = 4108.29
d(2906, 2906) = 4109.7
d(2907, 2907) = 4111.12
d(2908, 2908) = 4112.53
d(2909, 2909) = 4113.95
d(2910, 2910) = 4115.36
d(2911, 2911) = 4116.78
d(2912, 2912) = 4118.19
d(2913, 2913) = 4119.6
d(2914, 2914) = 4121.02
d(2915, 2915) = 4122.43
d(2916, 2916) = 4123.85
d(2917, 2917) = 4125.26
d(2918, 2918) = 4126.68
d(2919, 2919) = 4128.09
d(2920, 2920) = 4129.5
d(2921, 2921) = 4130.92
d(2922, 2922) = 4132.33
d(2923, 2923) = 4133.75
d(2924, 2924) = 4135.16
d(2925, 2925) = 4136.57
d(2926, 2926) = 4137.99
d(2927, 2927) = 4139.4
d(2928, 2928) = 4140.82
d(2929, 2929) = 4142.23
d(2930, 2930) = 4143.65
d(2931, 2931) = 4145.06
d(2932, 2932) = 4146.47
d(2933, 2933) = 4147.89
d(2934, 2934) = 4149.3
d(2935, 2935) = 4150.72
d(2936, 2936) = 4152.13
d(2937, 2937) = 4153.55
d(2938, 2938) = 4154.96
d(2939, 2939) = 4156.37
d(2940, 2940) = 4157.79
d(2941, 2941) = 4159.2
d(2942, 2942) = 4160.62
d(2943, 2943) = 4162.03
d(2944, 2944) = 4163.44
d(2945, 2945) = 4164.86
d(2946, 2946) = 4166.27
d(2947, 2947) = 4167.69
d(2948, 2948) = 4169.1
d(2949, 2949) = 4170.52
d(2950, 2950) = 4171.93
d(2951, 2951) = 4173.34
d(2952, 2952) = 4174.76
d(2953, 2953) = 4176.17
d(2954, 2954) = 4177.59
d(2955, 2955) = 4179
d(2956, 2956) = 4180.42
d(2957, 2957) = 4181.83
d(2958, 2958) = 4183.24
d(2959, 2959) = 4184.66
d(2960, 2960) = 4186.07
d(2961, 2961) = 4187.49
d(2962, 2962) = 4188.9
d(2963, 2963) = 4190.31
d(2964, 2964) = 4191.73
d(2965, 2965) = 4193.14
d(2966, 2966) = 4194.56
d(2967, 2967) = 4195.97
d(2968, 2968) = 4197.39
d(2969, 2969) = 4198.8
d(2970, 2970) = 4200.21
d(2971, 2971) = 4201.63
d(2972, 2972) = 4203.04
d(2973, 2973) = 4204.46
d(2974, 2974) = 4205.87
d(2975, 2975) = 4207.29
d(2976, 2976) = 4208.7
d(2977, 2977) = 4210.11
d(2978, 2978) = 4211.53
d(2979, 2979) = 4212.94
d(2980, 2980) = 4214.36
d(2981, 2981) = 4215.77
d(2982, 2982) = 4217.18
d(2983, 2983) = 4218.6
d(2984, 2984) = 4220.01
d(2985, 2985) = 4221.43
d(2986, 2986) = 4222.84
d(2987, 2987) = 4224.26
d(2988, 2988) = 4225.67
d(2989, 2989) = 4227.08
d(2990, 2990) = 4228.5
d(2991, 2991) = 4229.91
d(2992, 2992) = 4231.33
d(2993, 2993) = 4232.74
d(2994, 2994) = 4234.16
d(2995, 2995) = 4235.57
d(2996, 2996) = 4236.98
d(2997, 2997) = 4238.4
d(2998, 2998) = 4239.81
d(2999, 2999) = 4241.23
d(3000, 3000) = 4242.64
d(3001, 3001) = 4244.05
d(3002, 3002) = 4245.47
d(3003, 3003) = 4246.88
d(3004, 3004) = 4248.3
d(3005, 3005) = 4249.71
d(3006, 3006) = 4251.13
d(3007, 3007) = 4252.54
d(3008, 3008) = 4253.95
d(3009, 3009) = 4255.37
d(3010, 3010) = 4256.78
d(3011, 3011) = 4258.2
d(3012, 3012) = 4259.61
d(3013, 3013) = 4261.03
d(3014, 3014) = 4262.44
d(3015, 3015) = 4263.85
d(3016, 3016) = 4265.27
d(3017, 3017) = 4266.68
d(3018, 3018) = 4268.1
d(3019, 3019) = 4269.51
d(3020, 3020) = 4270.92
d(3021, 3021) = 4272.34
d(3022, 3022) = 4273.75
d(3023, 3023) = 4275.17
d(3024, 3024) = 4276.58
d(3025, 3025) = 4278
d(3026, 3026) = 4279.41
d(3027, 3027) = 4280.82
d(3028, 3028) = 4282.24
d(3029, 3029) = 4283.65
d(3030, 3030) = 4285.07
d(3031, 3031) = 4286.48
d(3032, 3032) = 4287.9
d(3033, 3033) = 4289.31
d(3034, 3034) = 4290.72
d(3035, 3035) = 4292.14
d(3036, 3036) = 4293.55
d(3037, 3037) = 4294.97
d(3038, 3038) = 4296.38
d(3039, 3039) = 4297.8
d(3040, 3040) = 4299.21
d(3041, 3041) = 4300.62
d(3042, 3042) = 4302.04
d(3043, 3043) = 4303.45
d(3044, 3044) = 4304.87
d(3045, 3045) = 4306.28
d(3046, 3046) = 4307.69
d(3047, 3047) = 4309.11
d(3048, 3048) = 4310.52
d(3049, 3049) = 4311.94
d(3050, 3050) = 4313.35
d(3051, 3051) = 4314.77
d(3052, 3052) = 4316.18
d(3053, 3053) = 4317.59
d(3054, 3054) = 4319.01
d(3055, 3055) = 4320.42
d(3056, 3056) = 4321.84
d(3057, 3057) = 4323.25
d(3058, 3058) = 4324.67
d(3059, 3059) = 4326.08
d(3060, 3060) = 4327.49
d(3061, 3061) = 4328.91
d(3062, 3062) = 4330.32
d(3063, 3063) = 4331.74
d(3064, 3064) = 4333.15
d(3065, 3065) = 4334.56
d(3066, 3066) = 4335.98
d(3067, 3067) = 4337.39
d(3068, 3068) = 4338.81
d(3069, 3069) = 4340.22
d(3070, 3070) = 4341.64
d(3071, 3071) = 4343.05
d(3072, 3072) = 4344.46
d(3073, 3073) = 4345.88
d(3074, 3074) = 4347.29
d(3075, 3075) = 4348.71
d(3076, 3076) = 4350.12
d(3077, 3077) = 4351.54
d(3078, 3078) = 4352.95
d(3079, 3079) = 4354.36
d(3080, 3080) = 4355.78
d(3081, 3081) = 4357.19
d(3082, 3082) = 4358.61
d(3083, 3083) = 4360.02
d(3084, 3084) = 4361.43
d(3085, 3085) = 4362.85
d(3086, 3086) = 4364.26
d(3087, 3087) = 4365.68
d(3088, 3088) = 4367.09
d(3089, 3089) = 4368.51
d(3090, 3090) = 4369.92
d(3091, 3091) = 4371.33
d(3092, 3092) = 4372.75
d(3093, 3093) = 4374.16
d(3094, 3094) = 4375.58
d(3095, 3095) = 4376.99
d(3096, 3096) = 4378.41
d(3097, 3097) = 4379.82
d(3098, 3098) = 4381.23
d(3099, 3099) = 4382.65
d(3100, 3100) = 4384.06
d(3101, 3101) = 4385.48
d(3102, 3102) = 4386.89
d(3103, 3103) = 4388.3
d(3104, 3104) = 4389.72
d(3105, 3105) = 4391.13
d(3106, 3106) = 4392.55
d(3107, 3107) = 4393.96
d(3108, 3108) = 4395.38
d(3109, 3109) = 4396.79
d(3110, 3110) = 4398.2
d(3111, 3111) = 4399.62
d(3112, 3112) = 4401.03
d(3113, 3113) = 4402.45
d(3114, 3114) = 4403.86
d(3115, 3115) = 4405.28
d(3116, 3116) = 4406.69
d(3117, 3117) = 4408.1
d(3118, 3118) = 4409.52
d(3119, 3119) = 4410.93
d(3120, 3120) = 4412.35
d(3121, 3121) = 4413.76
d(3122, 3122) = 4415.17
d(3123, 3123) = 4416.59
d(3124, 3124) = 4418
d(3125, 3125) = 4419.42
d(3126, 3126) = 4420.83
d(3127, 3127) = 4422.25
d(3128, 3128) = 4423.66
d(3129, 3129) = 4425.07
d(3130, 3130) = 4426.49
d(3131, 3131) = 4427.9
d(3132, 3132) = 4429.32
d(3133, 3133) = 4430.73
d(3134, 3134) = 4432.15
d(3135, 3135) = 4433.56
d(3136, 3136) = 4434.97
d(3137, 3137) = 4436.39
d(3138, 3138) = 4437.8
d(3139, 3139) = 4439.22
d(3140, 3140) = 4440.63
d(3141, 3141) = 4442.04
d(3142, 3142) = 4443.46
d(3143, 3143) = 4444.87
d(3144, 3144) = 4446.29
d(3145, 3145) = 4447.7
d(3146, 3146) = 4449.12
d(3147, 3147) = 4450.53
d(3148, 3148) = 4451.94
d(3149, 3149) = 4453.36
d(3150, 3150) = 4454.77
d(3151, 3151) = 4456.19
d(3152, 3152) = 4457.6
d(3153, 3153) = 4459.02
d(3154, 3154) = 4460.43
d(3155, 3155) = 4461.84
d(3156, 3156) = 4463.26
d(3157, 3157) = 4464.67
d(3158, 3158) = 4466.09
d(3159, 3159) = 4467.5
d(3160, 3160) = 4468.91
d(3161, 3161) = 4470.33
d(3162, 3162) = 4471.74
d(3163, 3163) = 4473.16
d(3164, 3164) = 4474.57
d(3165, 3165) = 4475.99
d(3166, 3166) = 4477.4
d(3167, 3167) = 4478.81
d(3168, 3168) = 4480.23
d(3169, 3169) = 4481.64
d(3170, 3170) = 4483.06
d(3171, 3171) = 4484.47
d(3172, 3172) = 4485.89
d(3173, 3173) = 4487.3
d(3174, 3174) = 4488.71
d(3175, 3175) = 4490.13
d(3176, 3176) = 4491.54
d(3177, 3177) = 4492.96
d(3178, 3178) = 4494.37
d(3179, 3179) = 4495.78
d(3180, 3180) = 4497.2
d(3181, 3181) = 4498.61
d(3182, 3182) = 4500.03
d(3183, 3183) = 4501.44
d(3184, 3184) = 4502.86
d(3185, 3185) = 4504.27
d(3186, 3186) = 4505.68
d(3187, 3187) = 4507.1
d(3188, 3188) = 4508.51
d(3189, 3189) = 4509.93
d(3190, 3190) = 4511.34
d(3191, 3191) = 4512.76
d(3192, 3192) = 4514.17
d(3193, 3193) = 4515.58
d(3194, 3194) = 4517
d(3195, 3195) = 4518.41
d(3196, 3196) = 4519.83
d(3197, 3197) = 4521.24
d(3198, 3198) = 4522.65
d(3199, 3199) = 4524.07
d(3200, 3200) = 4525.48
d(3201, 3201) = 4526.9
d(3202, 3202) = 4528.31
d(3203, 3203) = 4529.73
d(3204, 3204) = 4531.14
d(3205, 3205) = 4532.55
d(3206, 3206) = 4533.97
d(3207, 3207) = 4535.38
d(3208, 3208) = 4536.8
d(3209, 3209) = 4538.21
d(3210, 3210) = 4539.63
d(3211, 3211) = 4541.04
d(3212, 3212) = 4542.45
d(3213, 3213) = 4543.87
d(3214, 3214) = 4545.28
d(3215, 3215) = 4546.7
d(3216, 3216) = 4548.11
d(3217, 3217) = 4549.53
d(3218, 3218) = 4550.94
d(3219, 3219) = 4552.35
d(3220, 3220) = 4553.77
d(3221, 3221) = 4555.18
d(3222, 3222) = 4556.6
d(3223, 3223) = 4558.01
d(3224, 3224) = 4559.42
d(3225, 3225) = 4560.84
d(3226, 3226) = 4562.25
d(3227, 3227) = 4563.67
d(3228, 3228) = 4565.08
d(3229, 3229) = 4566.5
d(3230, 3230) = 4567.91
d(3231, 3231) = 4569.32
d(3232, 3232) = 4570.74
d(3233, 3233) = 4572.15
d(3234, 3234) = 4573.57
d(3235, 3235) = 4574.98
d(3236, 3236) = 4576.4
d(3237, 3237) = 4577.81
d(3238, 3238) = 4579.22
d(3239, 3239) = 4580.64
d(3240, 3240) = 4582.05
d(3241, 3241) = 4583.47
d(3242, 3242) = 4584.88
d(3243, 3243) = 4586.29
d(3244, 3244) = 4587.71
d(3245, 3245) = 4589.12
d(3246, 3246) = 4590.54
d(3247, 3247) = 4591.95
d(3248, 3248) = 4593.37
d(3249, 3249) = 4594.78
d(3250, 3250) = 4596.19
d(3251, 3251) = 4597.61
d(3252, 3252) = 4599.02
d(3253, 3253) = 4600.44
d(3254, 3254) = 4601.85
d(3255, 3255) = 4603.27
d(3256, 3256) = 4604.68
d(3257, 3257) = 4606.09
d(3258, 3258) = 4607.51
d(3259, 3259) = 4608.92
d(3260, 3260) = 4610.34
d(3261, 3261) = 4611.75
d(3262, 3262) = 4613.16
d(3263, 3263) = 4614.58
d(3264, 3264) = 4615.99
d(3265, 3265) = 4617.41
d(3266, 3266) = 4618.82
d(3267, 3267) = 4620.24
d(3268, 3268) = 4621.65
d(3269, 3269) = 4623.06
d(3270, 3270) = 4624.48
d(3271, 3271) = 4625.89
d(3272, 3272) = 4627.31
d(3273, 3273) = 4628.72
d(3274, 3274) = 4630.14
d(3275, 3275) = 4631.55
d(3276, 3276) = 4632.96
d(3277, 3277) = 4634.38
d(3278, 3278) = 4635.79
d(3279, 3279) = 4637.21
d(3280, 3280) = 4638.62
d(3281, 3281) = 4640.03
d(3282, 3282) = 4641.45
d(3283, 3283) = 4642.86
d(3284, 3284) = 4644.28
d(3285, 3285) = 4645.69
d(3286, 3286) = 4647.11
d(3287, 3287) = 4648.52
d(3288, 3288) = 4649.93
d(3289, 3289) = 4651.35
d(3290, 3290) = 4652.76
d(3291, 3291) = 4654.18
d(3292, 3292) = 4655.59
d(3293, 3293) = 4657.01
d(3294, 3294) = 4658.42
d(3295, 3295) = 4659.83
d(3296, 3296) = 4661.25
d(3297, 3297) = 4662.66
d(3298, 3298) = 4664.08
d(3299, 3299) = 4665.49
d(3300, 3300) = 4666.9
d(3301, 3301) = 4668.32
d(3302, 3302) = 4669.73
d(3303, 3303) = 4671.15
d(3304, 3304) = 4672.56
d(3305, 3305) = 4673.98
d(3306, 3306) = 4675.39
d(3307, 3307) = 4676.8
d(3308, 3308) = 4678.22
d(3309, 3309) = 4679.63
d(3310, 3310) = 4681.05
d(3311, 3311) = 4682.46
d(3312, 3312) = 4683.88
d(3313, 3313) = 4685.29
d(3314, 3314) = 4686.7
d(3315, 3315) = 4688.12
d(3316, 3316) = 4689.53
d(3317, 3317) = 4690.95
d(3318, 3318) = 4692.36
d(3319, 3319) = 4693.77
d(3320, 3320) = 4695.19
d(3321, 3321) = 4696.6
d(3322, 3322) = 4698.02
d(3323, 3323) = 4699.43
d(3324, 3324) = 4700.85
d(3325, 3325) = 4702.26
d(3326, 3326) = 4703.67
d(3327, 3327) = 4705.09
d(3328, 3328) = 4706.5
d(3329, 3329) = 4707.92
d(3330, 3330) = 4709.33
d(3331, 3331) = 4710.75
d(3332, 3332) = 4712.16
d(3333, 3333) = 4713.57
d(3334, 3334) = 4714.99
d(3335, 3335) = 4716.4
d(3336, 3336) = 4717.82
d(3337, 3337) = 4719.23
d(3338, 3338) = 4720.64
d(3339, 3339) = 4722.06
d(3340, 3340) = 4723.47
d(3341, 3341) = 4724.89
d(3342, 3342) = 4726.3
d(3343, 3343) = 4727.72
d(3344, 3344) = 4729.13
d(3345, 3345) = 4730.54
d(3346, 3346) = 4731.96
d(3347, 3347) = 4733.37
d(3348, 3348) = 4734.79
d(3349, 3349) = 4736.2
d(3350, 3350) = 4737.62
d(3351, 3351) = 4739.03
d(3352, 3352) = 4740.44
d(3353, 3353) = 4741.86
d(3354, 3354) = 4743.27
d(3355, 3355) = 4744.69
d(3356, 3356) = 4746.1
d(3357, 3357) = 4747.51
d(3358, 3358) = 4748.93
d(3359, 3359) = 4750.34
d(3360, 3360) = 4751.76
d(3361, 3361) = 4753.17
d(3362, 3362) = 4754.59
d(3363, 3363) = 4756
d(3364, 3364) = 4757.41
d(3365, 3365) = 4758.83
d(3366, 3366) = 4760.24
d(3367, 3367) = 4761.66
d(3368, 3368) = 4763.07
d(3369, 3369) = 4764.49
d(3370, 3370) = 4765.9
d(3371, 3371) = 4767.31
d(3372, 3372) = 4768.73
d(3373, 3373) = 4770.14
d(3374, 3374) = 4771.56
d(3375, 3375) = 4772.97
d(3376, 3376) = 4774.38
d(3377, 3377) = 4775.8
d(3378, 3378) = 4777.21
d(3379, 3379) = 4778.63
d(3380, 3380) = 4780.04
d(3381, 3381) = 4781.46
d(3382, 3382) = 4782.87
d(3383, 3383) = 4784.28
d(3384, 3384) = 4785.7
d(3385, 3385) = 4787.11
d(3386, 3386) = 4788.53
d(3387, 3387) = 4789.94
d(3388, 3388) = 4791.36
d(3389, 3389) = 4792.77
d(3390, 3390) = 4794.18
d(3391, 3391) = 4795.6
d(3392, 3392) = 4797.01
d(3393, 3393) = 4798.43
d(3394, 3394) = 4799.84
d(3395, 3395) = 4801.26
d(3396, 3396) = 4802.67
d(3397, 3397) = 4804.08
d(3398, 3398) = 4805.5
d(3399, 3399) = 4806.91
d(3400, 3400) = 4808.33
d(3401, 3401) = 4809.74
d(3402, 3402) = 4811.15
d(3403, 3403) = 4812.57
d(3404, 3404) = 4813.98
d(3405, 3405) = 4815.4
d(3406, 3406) = 4816.81
d(3407, 3407) = 4818.23
d(3408, 3408) = 4819.64
d(3409, 3409) = 4821.05
d(3410, 3410) = 4822.47
d(3411, 3411) = 4823.88
d(3412, 3412) = 4825.3
d(3413, 3413) = 4826.71
d(3414, 3414) = 4828.13
d(3415, 3415) = 4829.54
d(3416, 3416) = 4830.95
d(3417, 3417) = 4832.37
d(3418, 3418) = 4833.78
d(3419, 3419) = 4835.2
d(3420, 3420) = 4836.61
d(3421, 3421) = 4838.02
d(3422, 3422) = 4839.44
d(3423, 3423) = 4840.85
d(3424, 3424) = 4842.27
d(3425, 3425) = 4843.68
d(3426, 3426) = 4845.1
d(3427, 3427) = 4846.51
d(3428, 3428) = 4847.92
d(3429, 3429) = 4849.34
d(3430, 3430) = 4850.75
d(3431, 3431) = 4852.17
d(3432, 3432) = 4853.58
d(3433, 3433) = 4855
d(3434, 3434) = 4856.41
d(3435, 3435) = 4857.82
d(3436, 3436) = 4859.24
d(3437, 3437) = 4860.65
d(3438, 3438) = 4862.07
d(3439, 3439) = 4863.48
d(3440, 3440) = 4864.89
d(3441, 3441) = 4866.31
d(3442, 3442) = 4867.72
d(3443, 3443) = 4869.14
d(3444, 3444) = 4870.55
d(3445, 3445) = 4871.97
d(3446, 3446) = 4873.38
d(3447, 3447) = 4874.79
d(3448, 3448) = 4876.21
d(3449, 3449) = 4877.62
d(3450, 3450) = 4879.04
d(3451, 3451) = 4880.45
d(3452, 3452) = 4881.87
d(3453, 3453) = 4883.28
d(3454, 3454) = 4884.69
d(3455, 3455) = 4886.11
d(3456, 3456) = 4887.52
d(3457, 3457) = 4888.94
d(3458, 3458) = 4890.35
d(3459, 3459) = 4891.76
d(3460, 3460) = 4893.18
d(3461, 3461) = 4894.59
d(3462, 3462) = 4896.01
d(3463, 3463) = 4897.42
d(3464, 3464) = 4898.84
d(3465, 3465) = 4900.25
d(3466, 3466) = 4901.66
d(3467, 3467) = 4903.08
d(3468, 3468) = 4904.49
d(3469, 3469) = 4905.91
d(3470, 3470) = 4907.32
d(3471, 3471) = 4908.74
d(3472, 3472) = 4910.15
d(3473, 3473) = 4911.56
d(3474, 3474) = 4912.98
d(3475, 3475) = 4914.39
d(3476, 3476) = 4915.81
d(3477, 3477) = 4917.22
d(3478, 3478) = 4918.63
d(3479, 3479) = 4920.05
d(3480, 3480) = 4921.46
d(3481, 3481) = 4922.88
d(3482, 3482) = 4924.29
d(3483, 3483) = 4925.71
d(3484, 3484) = 4927.12
d(3485, 3485) = 4928.53
d(3486, 3486) = 4929.95
d(3487, 3487) = 4931.36
d(3488, 3488) = 4932.78
d(3489, 3489) = 4934.19
d(3490, 3490) = 4935.61
d(3491, 3491) = 4937.02
d(3492, 3492) = 4938.43
d(3493, 3493) = 4939.85
d(3494, 3494) = 4941.26
d(3495, 3495) = 4942.68
d(3496, 3496) = 4944.09
d(3497, 3497) = 4945.5
d(3498, 3498) = 4946.92
d(3499, 3499) = 4948.33
d(3500, 3500) = 4949.75
d(3501, 3501) = 4951.16
d(3502, 3502) = 4952.58
d(3503, 3503) = 4953.99
d(3504, 3504) = 4955.4
d(3505, 3505) = 4956.82
d(3506, 3506) = 4958.23
d(3507, 3507) = 4959.65
d(3508, 3508) = 4961.06
d(3509, 3509) = 4962.48
d(3510, 3510) = 4963.89
d(3511, 3511) = 4965.3
d(3512, 3512) = 4966.72
d(3513, 3513) = 4968.13
d(3514, 3514) = 4969.55
d(3515, 3515) = 4970.96
d(3516, 3516) = 4972.37
d(3517, 3517) = 4973.79
d(3518, 3518) = 4975.2
d(3519, 3519) = 4976.62
d(3520, 3520) = 4978.03
d(3521, 3521) = 4979.45
d(3522, 3522) = 4980.86
d(3523, 3523) = 4982.27
d(3524, 3524) = 4983.69
d(3525, 3525) = 4985.1
d(3526, 3526) = 4986.52
d(3527, 3527) = 4987.93
d(3528, 3528) = 4989.35
d(3529, 3529) = 4990.76
d(3530, 3530) = 4992.17
d(3531, 3531) = 4993.59
d(3532, 3532) = 4995
d(3533, 3533) = 4996.42
d(3534, 3534) = 4997.83
d(3535, 3535) = 4999.24
d(3536, 3536) = 5000.66
d(3537, 3537) = 5002.07
d(3538, 3538) = 5003.49
d(3539, 3539) = 5004.9
d(3540, 3540) = 5006.32
d(3541, 3541) = 5007.73
d(3542, 3542) = 5009.14
d(3543, 3543) = 5010.56
d(3544, 3544) = 5011.97
d(3545, 3545) = 5013.39
d(3546, 3546) = 5014.8
d(3547, 3547) = 5016.22
d(3548, 3548) = 5017.63
d(3549, 3549) = 5019.04
d(3550, 3550) = 5020.46
d(3551, 3551) = 5021.87
d(3552, 3552) = 5023.29
d(3553, 3553) = 5024.7
d(3554, 3554) = 5026.12
d(3555, 3555) = 5027.53
d(3556, 3556) = 5028.94
d(3557, 3557) = 5030.36
d(3558, 3558) = 5031.77
d(3559, 3559) = 5033.19
d(3560, 3560) = 5034.6
d(3561, 3561) = 5036.01
d(3562, 3562) = 5037.43
d(3563, 3563) = 5038.84
d(3564, 3564) = 5040.26
d(3565, 3565) = 5041.67
d(3566, 3566) = 5043.09
d(3567, 3567) = 5044.5
d(3568, 3568) = 5045.91
d(3569, 3569) = 5047.33
d(3570, 3570) = 5048.74
d(3571, 3571) = 5050.16
d(3572, 3572) = 5051.57
d(3573, 3573) = 5052.99
d(3574, 3574) = 5054.4
d(3575, 3575) = 5055.81
d(3576, 3576) = 5057.23
d(3577, 3577) = 5058.64
d(3578, 3578) = 5060.06
